"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","recommend",2085,0,5,5,1,22,435,26.06,0.00,5,6,6,7,7,8,9,12,17,23,23,23
"POST","reserve",26,0,16,21,4,70,64,0.33,0.00,17,23,25,28,45,46,71,71,71,71,71,71
"GET","search_hotel",3177,0,9,11,2,88,187,39.71,0.00,9,13,15,17,21,26,32,36,58,89,89,89
"GET","user_login",31,0,3,2,1,4,64,0.39,0.00,3,3,3,3,4,4,5,5,5,5,5,5
"None","Aggregated",5319,0,7,9,1,88,283,66.49,0.00,7,9,11,14,18,23,29,33,53,89,89,89
